BUS1 BUS2 BUS3 CI G_MAG B_MAG WI1 WI2 WI3 WI_V WI_A ARE OWN NAME BUS4 NAME2
1210 10265 43496 04 0.000 0.000 1 1 1 0.960142 -40.50550 2 0 GRAVA2-RS230-GRA2-4-R 43920 GRA2-4-RS000
1212 9241 41057 01 0.000 0.000 1 1 1 1.002112 -39.72107 2 0 ELDORA-RS230-ELDO-1-R 41257 ELDO-1-RS000
1213 1214 41078 01 0.000 0.000 1 1 1 1.019903 -34.72385 2 0 GUARIT-RS230-GRT--1-R 41274 GRT--1-RS000
1213 1214 41079 02 0.000 0.000 1 1 1 1.019873 -34.73304 2 0 GUARIT-RS230-GRT--2-R 41275 GRT--2-RS000
1213 1214 41080 07 0.000 0.000 1 1 1 1.021994 -34.83507 2 0 GUARIT-RS230-GRT--7-R 41276 GRT--7-RS000
1215 1155 0 01 0.000 0.000 1 1 0 0.000000 0.00000 2 0 ITAUBA-RS230-ITAUBAUH  
1215 1156 0 01 0.000 0.000 1 1 0 0.000000 0.00000 2 0 ITAUBA-RS230-ITAUBASI  
1216 1162 0 01 0.000 0.000 1 1 0 0.000000 0.00000 3 0 JACUI--RS138-JACUI-UH  
1216 1220 0 07 0.000 0.000 1 1 0 0.000000 0.00000 3 0 JACUI--RS138-JACUIR-R  
1218 2081 41083 01 0.000 0.000 1 1 1 1.028311 -40.96772 2 0 LAJEA2-RS230-LAJ2-1-R 41282 LAJ2-1-RS000
1218 2081 41084 02 0.000 0.000 1 1 1 1.028332 -40.95754 2 0 LAJEA2-RS230-LAJ2-2-R 41283 LAJ2-2-RS000
1218 2081 41085 03 0.000 0.000 1 1 1 1.028326 -40.95211 2 0 LAJEA2-RS230-LAJ2-3-R 41284 LAJ2-3-RS000
1223 1176 0 01 0.000 0.000 1 1 0 0.000000 0.00000 2 0 DFRANC-RS230-DFRANCUH  
1223 1177 0 01 0.000 0.000 1 1 0 0.000000 0.00000 2 0 DFRANC-RS230-DFRANCSI  
1225 1235 41094 01 0.000 0.000 1 1 1 1.021452 -37.60790 2 0 MACAMB-RS230-MBR-1--R 41291 MBR-1--RS000
1225 1235 41091 07 0.000 0.000 1 1 1 1.020735 -37.53531 2 0 MACAMB-RS230-MBR-7--R 41292 MBR-7--RS000
1225 1235 41092 09 0.000 0.000 1 1 1 1.021297 -37.58722 2 0 MACAMB-RS230-MBR-9--R 41293 MBR-9--RS000
1226 1228 41099 01 0.000 0.000 1 1 1 1.020680 -36.23720 3 0 NPRAT2-RS069-NPR2-1-R 41298 NPR2-1-RS000
1226 1228 41100 02 0.000 0.000 1 1 1 1.020680 -36.23720 3 0 NPRAT2-RS069-NPR2-2-R 41299 NPR2-2-RS000
1230 9203 9204 04 0.000 0.000 1 1 1 0.999369 -35.99043 2 0 LIVRA2-RS230-LIV--4-R 9202 LIV--4-RS000
1230 9204 41088 01 0.000 0.000 1 1 1 0.999359 -36.03412 2 0 LIVRA2-RS230-LIV2-1-R 9213 LIV2-1-RS000
1231 1232 41106 01 0.000 0.000 1 1 1 1.000059 -36.91995 2 0 OSORI2-RS230-OSO2-1-R 41306 OSO2-1-RS000
1231 1232 41107 02 0.000 0.000 1 1 1 1.000893 -36.86752 2 0 OSORI2-RS230-OSO2-2-R 41307 OSO2-2-RS000
1231 1232 41108 05 0.000 0.000 1 1 1 1.000060 -36.91993 2 0 OSORI2-RS230-OSO2-5-R 41308 OSO2-5-RS000
1235 9205 0 02 0.000 0.000 1 1 0 0.000000 0.00000 3 0 MACAMB-RS069-MACAMB-R  
1235 9205 0 08 0.000 0.000 1 1 0 0.000000 0.00000 3 0 MACAMB-RS069-MACAMB-R  
1236 1240 41129 01 0.000 0.000 1 1 1 1.000174 -38.41551 2 0 PELOT3-RS230-PEL3-1-R 41329 PEL3-1-RS000
1236 1240 41130 02 0.000 0.000 1 1 1 1.000158 -38.41171 2 0 PELOT3-RS230-PEL3-2-R 41330 PEL3-2-RS000
1236 1240 41131 03 0.000 0.000 1 1 1 0.999919 -38.43699 2 0 PELOT3-RS230-PEL3-3-R 41331 PEL3-3-RS000
1238 9242 0 09 0.000 0.000 1 1 0 0.000000 0.00000 4 0 PMEDIC-RS138-PMEDIC-R  
1238 1239 41198 07 0.000 0.000 1 1 1 1.001913 -36.11517 4 0 PMEDIC-RS138-UPME-7-R 41394 UPME-7-RS000
1239 43489 43490 08 0.000 0.000 1 1 1 1.010257 -32.47273 2 0 PMEDIC-RS230-UPME-8-R 43488 UPME-8-RS000
1242 1243 41200 01 0.000 0.000 1 1 1 1.001449 -28.81021 3 0 PREAL--RS138-PRE--1-R 41344 PRE--1-RS000
1242 1243 41199 02 0.000 0.000 1 1 1 1.000189 -28.97850 3 0 PREAL--RS138-PRE--2-R 41345 PRE--2-RS000
1243 1175 0 01 0.000 0.000 1 1 0 0.000000 0.00000 2 0 PREAL--RS230-PREAL-UH  
1245 1246 41151 02 0.000 0.000 1 1 1 1.017930 -40.02311 4 0 QUINTA-RS069-QUI--2-R 41346 QUI--2-RS000
1245 1246 41149 05 0.000 0.000 1 1 1 1.017148 -40.17473 4 0 QUINTA-RS069-QUI--5-R 41348 QUI--5-RS000
1246 1247 41147 01 0.000 0.000 1 1 1 0.998941 -37.08390 2 0 QUINTA-RS230-QUI--1-R 41347 QUI--1-RS000
1246 1247 41148 02 0.000 0.000 1 1 1 0.998946 -37.07902 2 0 QUINTA-RS230-QUI--2-R 41349 QUI--2-RS000
1246 1247 41150 03 0.000 0.000 1 1 1 0.998947 -37.07868 2 0 QUINTA-RS230-QUI--3-R 41350 QUI--3-RS000
1248 1152 0 01 0.000 0.000 1 1 0 0.000000 0.00000 2 0 CANOA2-RS230-CANO-GUT  
1248 1169 0 01 0.000 0.000 1 1 0 0.000000 0.00000 2 0 CANOA2-RS230-CANO-VUT  
1249 2094 41193 01 0.000 0.000 1 1 1 1.022583 -38.97119 2 0 TAQUAR-RS230-TAQ--1-R 41389 TAQ--1-RS000
1249 2094 41194 02 0.000 0.000 1 1 1 1.022797 -38.94517 2 0 TAQUAR-RS230-TAQ--2-R 41390 TAQ--2-RS000
1250 1251 41153 01 0.000 0.000 1 1 1 1.024452 -34.64700 2 0 SANGE2-RS230-SAG2-1-R 41352 SAG2-1-RS000
1250 1251 41154 02 0.000 0.000 1 1 1 1.024498 -34.63398 2 0 SANGE2-RS230-SAG2-2-R 41353 SAG2-2-RS000
1251 9285 0 03 0.000 0.000 1 1 0 0.000000 0.00000 3 0 SANGEL-RS069-SANGEL-R  
1251 9285 0 04 0.000 0.000 1 1 0 0.000000 0.00000 3 0 SANGEL-RS069-SANGEL-R  
1253 9206 0 02 0.000 0.000 1 1 0 0.000000 0.00000 3 0 SBORJ2-RS069-SBORJA-R  
1253 9206 0 05 0.000 0.000 1 1 0 0.000000 0.00000 3 0 SBORJ2-RS069-SBORJA-R  
1253 1254 41156 01 0.000 0.000 1 1 1 1.019654 -36.18495 3 0 SBORJ2-RS069-SBO2-1-R 41357 SBO2-1-RS000
1253 1254 41157 06 0.000 0.000 1 1 1 1.019700 -36.19401 3 0 SBORJ2-RS069-SBO2-6-R 41358 SBO2-6-RS000
1253 1254 41158 07 0.000 0.000 1 1 1 1.009873 -35.19991 3 0 SBORJ2-RS069-SBO2-7-R 41359 SBO2-7-RS000
1256 2088 41164 01 0.000 0.000 1 1 1 1.022007 -37.02772 2 0 SCRUZ1-RS230-SCR1-1-R 41365 SCR1-1-RS000
1256 2088 41165 02 0.000 0.000 1 1 1 1.021950 -37.03845 2 0 SCRUZ1-RS230-SCR1-2-R 41366 SCR1-2-RS000
1256 2088 41168 05 0.000 0.000 1 1 1 1.021991 -37.03406 2 0 SCRUZ1-RS230-SCR1-5-R 41367 SCR1-5-RS000
1256 9753 41166 06 0.000 0.000 1 1 1 1.015897 -37.23519 2 0 SCRUZ1-RS230-SCZ1-6-R 41368 SCZ1-6-RS000
1256 9754 41167 07 0.000 0.000 1 1 1 1.012447 -36.82472 2 0 SCRUZ1-RS230-SCZ1-7-R 41369 SCZ1-7-RS000
1257 1258 41050 01 0.000 0.000 1 1 1 1.018384 -38.27469 3 0 CINPAL-RS138-CIN-1--R 41250 CIN-1--RS000
1257 1258 41051 02 0.000 0.000 1 1 1 1.018384 -38.27469 3 0 CINPAL-RS138-CIN-2--R 41252 CIN-2--RS000
1258 9207 41052 01 0.000 0.000 1 1 1 0.991920 -41.27598 2 0 CINPAL-RS230-CIND-1-R 41249 CIND-1-RS000
1258 9217 41053 02 0.000 0.000 1 1 1 0.993021 -40.49484 2 0 CINPAL-RS230-CIND-2-R 41251 CIND-2-RS000
1259 9243 41114 01 0.000 0.000 1 1 1 0.994748 -39.43379 2 0 PALGR4-RS230-PAL4-A-R 41315 PAL4-A-RS000
1259 9251 41115 02 0.000 0.000 1 1 1 0.977328 -41.44389 2 0 PALGR4-RS230-PAL4-B-R 41316 PAL4-B-RS000
1259 9252 41116 03 0.000 0.000 1 1 1 0.977019 -41.32841 2 0 PALGR4-RS230-PAL4-C-R 41317 PAL4-C-RS000
1259 9253 41117 04 0.000 0.000 1 1 1 0.996578 -41.05300 2 0 PALGR4-RS230-PAL4-D-R 41321 PAL4-D-RS000
1259 9254 41118 06 0.000 0.000 1 1 1 0.997392 -40.84215 2 0 PALGR4-RS230-PAL4-E-R 41322 PAL4-E-RS000
1262 9300 0 01 0.000 0.000 1 1 0 0.000000 0.00000 3 0 PALGR6-RS069-PALE6B-R  
1262 1263 41119 01 0.000 0.000 1 1 1 1.010609 -39.56173 3 0 PALGR6-RS069-PAL6-1-R 41319 PAL6-1-RS000
1262 1263 41120 02 0.000 0.000 1 1 1 1.010552 -39.55592 3 0 PALGR6-RS069-PAL6-2-R 41320 PAL6-2-RS000
1263 9244 41121 06 0.000 0.000 1 1 1 1.006826 -41.06530 2 0 PALGR6-RS230-PAL6-6-R 41318 PAL6-6-RS000
1263 10266 43498 07 0.000 0.000 1 1 1 0.999000 -41.09247 2 0 PALGR6-RS230-PAL6-7-R 43497 PAL6-7-RS000
1264 1271 41123 01 0.000 0.000 1 1 1 1.018645 -40.11491 2 0 PALGR8-RS230-PAL8-1-R 41323 PAL8-1-RS000
1264 1271 41124 02 0.000 0.000 1 1 1 1.018781 -40.09835 2 0 PALGR8-RS230-PAL8-2-R 41324 PAL8-2-RS000
1264 1271 41122 03 0.000 0.000 1 1 1 1.018311 -40.24229 2 0 PALGR8-RS230-PAL8-3-R 41325 PAL8-3-RS000
1266 1267 41125 02 0.000 0.000 1 1 1 1.019978 -39.61368 3 0 PALGR9-RS069-PAL9-2-R 41327 PAL9-2-RS000
1266 1267 41126 05 0.000 0.000 1 1 1 1.020064 -39.64942 3 0 PALGR9-RS069-PAL9-5-R 41328 PAL9-5-RS000
1267 1352 41127 01 0.000 0.000 1 1 1 0.990947 -41.95286 2 0 PALGR9-RS230-PAL9-1-R 41326 PAL9-1-RS000
1267 10267 43885 06 0.000 0.000 1 1 1 1.005547 -41.14167 2 0 PALGR9-RS230-PAL9-6-R 43878 PAL9-6-RS000
1268 1269 41109 01 0.000 0.000 1 1 1 1.009992 -39.78317 2 0 PALG10-RS230-PA10-1-R 41310 PA10-1-RS000
1268 1269 41110 02 0.000 0.000 1 1 1 1.010031 -39.78877 2 0 PALG10-RS230-PA10-2-R 41311 PA10-2-RS000
1270 9246 41111 01 0.000 0.000 1 1 1 0.992378 -40.48921 2 0 PALG13-RS230-PA13-1-R 41313 PA13-1-RS000
1270 9260 41128 02 0.000 0.000 1 1 1 0.993110 -41.09105 2 0 PALG13-RS230-PA13-2-R 41314 PA13-2-RS000
1273 41170 41171 02 0.000 0.000 1 1 1 0.979963 -42.11598 5 0 SIDERU-RS230-SIDR-1-R 41370 SIDR-1-RS000
1273 41169 41171 01 0.000 0.000 1 1 1 0.979962 -42.11616 5 0 SIDERU-RS230-SIDR-1-R 41409 SIDR-1-RS000
1275 1284 0 02 0.000 0.000 1 1 0 0.000000 0.00000 3 0 SMARTA-RS138-SMARTA-R  
1275 10208 0 01 0.000 0.000 1 1 0 0.000000 0.00000 3 0 SMARTA-RS138-SMARTA-R  
1275 1281 41178 01 0.000 0.000 1 1 1 0.995202 -29.47813 3 0 SMARTA-RS138-SMT--1-R 41376 SMT--1-RS000
1275 1281 41179 02 0.000 0.000 1 1 1 0.994876 -29.49908 3 0 SMARTA-RS138-SMT--2-R 41377 SMT--2-RS000
1278 1383 41174 01 0.000 0.000 1 1 1 1.015779 -33.90746 2 0 SMARI3-RS230-SM3--1-R 41371 SM3--1-RS000
1278 1383 41175 02 0.000 0.000 1 1 1 1.015779 -33.90746 2 0 SMARI3-RS230-SM3--2-R 41372 SM3--2-RS000
1278 2087 41172 01 0.000 0.000 1 1 1 1.029111 -36.31926 2 0 SMARI3-RS230-SMA3-1-R 41373 SMA3-1-RS000
1278 2087 41176 05 0.000 0.000 1 1 1 1.028593 -36.27283 2 0 SMARI3-RS230-SMA3-5-R 41374 SMA3-5-RS000
1278 2087 41173 02 0.000 0.000 1 1 1 1.029066 -36.34016 2 0 SMARI3-RS230-SMA3-2-R 41375 SMA3-2-RS000
1279 1281 41180 03 0.000 0.000 1 1 1 1.020987 -33.79392 3 0 SMARTA-RS069-SMT--3-R 41378 SMT--3-RS000
1279 1281 41177 11 0.000 0.000 1 1 1 1.021022 -33.84422 3 0 SMARTA-RS069-SMT-11-R 41379 SMT-11-RS000
1282 1283 41181 09 0.000 0.000 1 1 1 1.022601 -34.22627 3 0 SROSA--RS069-SRO1-9-R 41380 SRO1-9-RS000
1282 1283 41182 01 0.000 0.000 1 1 1 1.022800 -34.20611 3 0 SROSA--RS069-SRO1-1-R 41381 SRO1-1-RS000
1282 1283 41183 05 0.000 0.000 1 1 1 1.022478 -34.23890 3 0 SROSA--RS069-SRO--5-R 41382 SRO--5-RS000
1286 1289 41184 01 0.000 0.000 1 1 1 1.020630 -36.87102 2 0 SVICEN-RS230-SVI--1-R 41383 SVI--1-RS000
1286 1289 41185 02 0.000 0.000 1 1 1 1.020717 -36.89087 2 0 SVICEN-RS230-SVI--2-R 41384 SVI--2-RS000
1286 1289 41186 06 0.000 0.000 1 1 1 1.020497 -36.90961 2 0 SVICEN-RS230-SVI--6-R 41385 SVI--6-RS000
1287 1288 9308 01 0.000 0.000 1 1 1 1.011784 -33.45291 2 0 PASSME-RS230-PME--1-R 9315 PME--1-RS000
1287 10150 41135 02 0.000 0.000 1 1 1 1.014608 -34.76460 2 0 PASSME-RS230-PME--2-R 41335 PME--2-RS000
1289 9208 0 03 0.000 0.000 1 1 0 0.000000 0.00000 3 0 SVICEN-RS069-SVICEN-R  
1291 1292 41190 01 0.000 0.000 1 1 1 1.018156 -33.91362 2 0 TAPERA-RS230-TPR--1-R 41391 TPR--1-RS000
1291 1292 41191 02 0.000 0.000 1 1 1 1.018147 -33.91460 2 0 TAPERA-RS230-TPR--2-R 41392 TPR--2-RS000
1291 1292 41192 03 0.000 0.000 1 1 1 1.017721 -33.97661 2 0 TAPERA-RS230-TPR--3-R 41393 TPR--3-RS000
1294 1164 0 01 0.000 0.000 1 1 0 0.000000 0.00000 2 0 URUGUA-RS230-URUG-GUT  
1294 1165 0 01 0.000 0.000 1 1 0 0.000000 0.00000 2 0 URUGUA-RS230-URUG-VUT  
1295 1296 41201 01 0.000 0.000 1 1 1 1.025384 -38.79700 3 0 URUGU5-RS069-URU5-1-R 41395 URU5-1-RS000
1295 1296 41202 02 0.000 0.000 1 1 1 1.025279 -38.74779 3 0 URUGU5-RS069-URU5-2-R 41396 URU5-2-RS000
1295 1296 41203 05 0.000 0.000 1 1 1 1.025341 -38.75295 3 0 URUGU5-RS069-URU5-5-R 41397 URU5-5-RS000
1296 1068 0 01 0.000 0.000 1 1 0 0.000000 0.00000 2 0 URUGU5-RS230-CFURUG-R  
1298 9210 0 01 0.000 0.000 1 1 0 0.000000 0.00000 3 0 VENAIR-RS069-VAIT34-R  
1298 9211 0 01 0.000 0.000 1 1 0 0.000000 0.00000 3 0 VENAIR-RS069-VAIRT5-R  
1298 1299 10420 03 0.000 0.000 1 1 1 1.000031 -39.17445 3 0 VENAIR-RS069-VAI--3-R 10419 VAI--3-RS000
1298 1299 41204 02 0.000 0.000 1 1 1 1.025567 -39.02323 3 0 VENAIR-RS069-VAI--2-R 41403 VAI--2-RS000
1301 2061 0 01 0.000 0.000 1 1 0 0.000000 0.00000 3 0 CALTA1-RS069-CRUZAL-R  
1301 9660 0 01 0.000 0.000 1 1 0 0.000000 0.00000 3 0 CALTA1-RS069-CAL1-B-R  
1302 9674 0 01 0.000 0.000 1 1 0 0.000000 0.00000 3 0 IJUI1--RS069-IJUI1--R  
1307 1333 0 01 0.000 0.000 1 1 0 0.000000 0.00000 3 0 PANAM--RS069-PANAMB-R  
1313 1314 41071 01 0.000 0.000 1 1 1 1.022338 -43.45894 2 0 GRAVA3-RS230-GRA3-1-R 41269 GRA3-1-RS000
1315 41063 41065 01 0.000 0.000 1 1 1 0.984727 -39.35628 5 0 FIBRAP-RS230-FIB--1-R 41263 FIB--1-RS000
1315 41063 41064 02 0.000 0.000 1 1 1 0.985578 -39.38201 5 0 FIBRAP-RS230-FIB--2-R 41264 FIB--2-RS000
1320 1368 0 01 0.000 0.000 1 1 0 0.000000 0.00000 2 0 LBARRO-RS230-LBARR1-R  
1320 1372 0 02 0.000 0.000 1 1 0 0.000000 0.00000 2 0 LBARRO-RS230-LBARR3-R  
1320 1373 0 03 0.000 0.000 1 1 0 0.000000 0.00000 2 0 LBARRO-RS230-LBARR2-R  
1320 9196 0 04 0.000 0.000 1 1 0 0.000000 0.00000 2 0 LBARRO-RS230-LBARR4-R  
1320 9807 0 06 0.000 0.000 1 1 0 0.000000 0.00000 2 0 LBARRO-RS230-OSOR23-R  
1320 9808 0 05 0.000 0.000 1 1 0 0.000000 0.00000 2 0 LBARRO-RS230-SANG23-R  
1320 9895 0 07 0.000 0.000 1 1 0 0.000000 0.00000 2 0 LBARRO-RS230-INDI23-R  
1321 10123 0 01 0.000 0.000 1 1 0 0.000000 0.00000 3 0 CIDR13-RS069-CIDREI-R  
1322 1323 41081 01 0.000 0.000 1 1 1 1.015329 -33.86722 3 0 IJUI2--RS069-IJU--1-R 41280 IJU--1-RS000
1322 1323 41082 02 0.000 0.000 1 1 1 1.015329 -33.86830 3 0 IJUI2--RS069-IJU--2-R 41281 IJU--2-RS000
1322 1323 43434 03 0.000 0.000 1 1 1 1.015027 -33.86288 3 0 IJUI2--RS069-IJU--3-R 43433 IJU--3-RS000
1325 1326 41089 01 0.000 0.000 1 1 1 1.034505 -30.40676 2 0 LVERME-RS230-LVE-1--R 41289 LVE-1--RS000
1325 1326 41090 02 0.000 0.000 1 1 1 1.035977 -30.40968 2 0 LVERME-RS230-LVE-2--R 41290 LVE-2--RS000
1330 1331 41010 01 0.000 0.000 1 1 1 0.968811 -37.39230 2 0 ATLAN2-RS230-ATLA-1-R 41213 ATLA-1-RS000
1330 1331 41012 02 0.000 0.000 1 1 1 0.968805 -37.39320 2 0 ATLAN2-RS230-ATLA-2-R 41214 ATLA-2-RS000
1330 1331 41011 03 0.000 0.000 1 1 1 0.968794 -37.39318 2 0 ATLAN2-RS230-ATLA-3-R 41215 ATLA-3-RS000
1386 1387 41026 01 0.000 0.000 1 1 1 1.012317 -38.45638 2 0 CAXIA6-RS230-CAX6-1-R 41255 CAX6-1-RS000
1386 1387 41027 02 0.000 0.000 1 1 1 1.012327 -38.45233 2 0 CAXIA6-RS230-CAX6-2-R 41256 CAX6-2-RS000
1398 3511 0 01 0.000 0.000 1 1 0 0.000000 0.00000 258 0 PCARRO-RJ138-PCARRO-R  
1398 3511 0 02 0.000 0.000 1 1 0 0.000000 0.00000 258 0 PCARRO-RJ138-PCARRO-R  
1399 3508 0 01 0.000 0.000 1 1 0 0.000000 0.00000 258 0 ENTARA-RJ138-ENTARA-R  
1399 3508 0 02 0.000 0.000 1 1 0 0.000000 0.00000 258 0 ENTARA-RJ138-ENTARA-R  
1475 1476 1478 01 0.000 0.000 1 1 1 1.028504 -1.48665 352 0 SLAGO4-MG345-SLAGO4-M 1479 SLAGO4-MG000
1496 1495 0 01 0.000 0.000 1 1 0 0.000000 0.00000 353 0 BAGUARUHE003-BAGUAR-M  
1503 1504 42136 01 0.000 0.000 1 1 1 1.004244 -20.74438 351 0 ITAJU3-MG500-ITAJB1-M 42135 ITAJB1-MG000
1503 1504 42138 02 0.000 0.000 1 1 1 1.015519 -20.55914 351 0 ITAJU3-MG500-ITAJB2-M 42137 ITAJB2-MG000
1515 1585 0 01 0.000 0.000 1 1 0 0.000000 0.00000 354 0 UTIBIR-MG138-IBIR-GUT  
1515 1586 0 01 0.000 0.000 1 1 0 0.000000 0.00000 354 0 UTIBIR-MG138-IBIRITUT  
1525 343 0 01 0.000 0.000 1 1 0 0.000000 0.00000 358 0 IGARAP-MG138-IGARAPUH  
1526 1500 0 01 0.000 0.000 1 1 0 0.000000 0.00000 354 0 IGARA-PCH138-IGARAPUT  
1529 306 0 01 0.000 0.000 1 1 0 0.000000 0.00000 353 0 GUILMA-MG230-GUILMAUH  
1530 9011 42084 03 0.000 0.000 1 1 1 1.033946 1.39969 353 0 IPATIN-MG230-IPT.T3-M 9010 IPT.T3-MG000
1530 4344 42085 05 0.000 0.000 1 1 1 1.008805 1.04743 353 0 IPATIN-MG230-IPT.T5-M 9050 IPT.T5-MG000
1530 1535 42087 01 0.000 0.000 1 1 1 0.999064 1.87504 353 0 IPATIN-MG230-IPT.T1-M 42086 IPT.T1-MG000
1530 1535 42091 04 0.000 0.000 1 1 1 0.998819 1.88114 353 0 IPATIN-MG230-IPT.T4-M 42090 IPT.T4-MG000
1534 1537 42093 01 0.000 0.000 1 1 1 1.012025 -1.41175 353 0 ITABI2-MG230-ITABI2-M 42092 ITABI2-MG000
1534 9020 42095 02 0.000 0.000 1 1 1 1.003272 -3.68135 353 0 ITABI2-MG230-ITABI2-M 42094 ITABI2-MG000
1538 1501 0 01 0.000 0.000 1 1 0 0.000000 0.00000 359 0 ITUTI1-MG138-ITU+CAUH  
1543 4044 0 01 0.000 0.000 1 1 0 0.000000 0.00000 359 0 FUNIL--MG138-FUNGRDUH  
1560 1559 0 01 0.000 0.000 1 1 0 0.000000 0.00000 355 0 R.NEVE-MG138-CANDONUH  
1569 4051 42041 01 0.000 0.000 1 1 1 0.985682 14.17948 356 0 PIRAP2-MG138-PI2.TA-M 42040 PI2.TA-MG000
1569 4051 42043 02 0.000 0.000 1 1 1 0.985682 14.17948 356 0 PIRAP2-MG138-PI2.TB-M 42042 PI2.TB-MG000
1570 1502 0 01 0.000 0.000 1 1 0 0.000000 0.00000 357 0 SGRAN-PCH161-SGRANDUH  
1592 1594 0 01 0.000 0.000 1 1 0 0.000000 0.00000 353 0 PESTRE-MG230-PESTREUH  
1595 1511 0 01 0.000 0.000 1 1 0 0.000000 0.00000 357 0 SCLARA-MG138-S.CLARUH  
1596 1597 0 03 0.000 0.000 1 1 0 0.000000 0.00000 362 0 ACESIT-MG230-ACESIT-M  
1598 1599 0 01 0.000 0.000 1 1 0 0.000000 0.00000 353 0 SACARV-MG069-SACARVUH  
1700 1707 0 01 0.000 0.000 1 1 0 0.000000 0.00000 257 0 AREAL-PCH013-AREAL-PC  
1701 1708 0 01 0.000 0.000 1 1 0 0.000000 0.00000 257 0 FAGUNDPCH013-FAGUND-R  
1702 1709 0 01 0.000 0.000 1 1 0 0.000000 0.00000 257 0 PIABANPCH013-PIABAN-R  
1703 1750 0 01 0.000 0.000 1 1 0 0.000000 0.00000 257 0 MACAB3PCH013-MACABUPC  
1704 1750 0 01 0.000 0.000 1 1 0 0.000000 0.00000 257 0 MACAB6PCH013-MACABUPC  
1711 1710 0 01 0.000 0.000 1 1 0 0.000000 0.00000 259 0 CALHE-PCH013-CALHEI-R  
1717 1718 7517 01 0.000 0.000 1 1 1 1.001976 -16.91478 256 0 MAGE---RJ138-MGEFC1-R 7515 MGEFC1-RJ000
1717 1718 7518 01 0.000 0.000 1 1 1 1.002000 -16.91773 256 0 MAGE---RJ138-MGEFC2-R 7516 MGEFC2-RJ000
1717 1718 7520 01 0.000 0.000 1 1 1 1.002072 -16.90507 256 0 MAGE---RJ138-MGEFC3-R 7519 MGEFC3-RJ000
1730 1723 0 01 0.000 0.000 1 1 0 0.000000 0.00000 254 0 ALCANT-RJ138-ALCANT-R  
1730 1723 0 02 0.000 0.000 1 1 0 0.000000 0.00000 254 0 ALCANT-RJ138-ALCANT-R  
1734 7848 44358 01 0.000 0.000 1 1 1 0.977040 -15.65632 254 0 S.PONT-RJ138-SPONT1-R 7846 SPONT1-RJ000
1734 7849 44358 02 0.000 0.000 1 1 1 0.977040 -15.65632 254 0 S.PONT-RJ138-SPONT2-R 7847 SPONT2-RJ000
1736 7476 0 01 0.000 0.000 1 1 0 0.000000 0.00000 254 0 V.PEDR-RJ138-VDP3---R  
1736 7477 0 01 0.000 0.000 1 1 0 0.000000 0.00000 254 0 V.PEDR-RJ138-VDP4---R  
1745 3598 0 01 0.000 0.000 1 1 0 0.000000 0.00000 258 0 RLEAOE-RJ138-RLEAOE-R  
1745 3598 0 02 0.000 0.000 1 1 0 0.000000 0.00000 258 0 RLEAOE-RJ138-RLEAOE-R  
1745 3598 0 03 0.000 0.000 1 1 0 0.000000 0.00000 258 0 RLEAOE-RJ138-RLEAOE-R  
1751 1750 0 01 0.000 0.000 1 1 0 0.000000 0.00000 257 0 MACABU-RJ138-MACABUPC  
1752 1753 0 01 0.000 0.000 1 1 0 0.000000 0.00000 257 0 FRIBUR-RJ138-FRIBUR-R  
1752 1753 0 02 0.000 0.000 1 1 0 0.000000 0.00000 257 0 FRIBUR-RJ138-FRIBUR-R  
1755 1756 0 01 0.000 0.000 1 1 0 0.000000 0.00000 257 0 RDCENT-RJ138-RDCENT-R  
1760 1761 0 01 0.000 0.000 1 1 0 0.000000 0.00000 259 0 UTEC---RJ138-UTEC69UT  
1765 1766 0 01 0.000 0.000 1 1 0 0.000000 0.00000 259 0 ITALVA-RJ138-ITALVA-R  
1765 1766 0 02 0.000 0.000 1 1 0 0.000000 0.00000 259 0 ITALVA-RJ138-ITALVA-R  
1768 1767 0 01 0.000 0.000 1 1 0 0.000000 0.00000 257 0 S.ROSA-RJ069-S.ROSAPC  
1770 7532 0 01 0.000 0.000 1 1 0 0.000000 0.00000 255 0 MURIQU-RJ138-MURIQU-R  
1771 7527 0 01 0.000 0.000 1 1 0 0.000000 0.00000 255 0 JACUAC-RJ138-JACUAC-R  
1780 3592 0 01 0.000 0.000 1 1 0 0.000000 0.00000 255 0 RESEND-RJ138-RSAUD3-R  
1781 1783 8719 01 0.000 0.000 1 1 1 0.979170 -12.96427 252 0 V.PEDR-RJ345-VPEDR1-R 1782 VPEDR1-RJ000
1781 1785 8719 02 0.000 0.000 1 1 1 0.979282 -12.96419 252 0 V.PEDR-RJ345-VPEDR2-R 1784 VPEDR2-RJ000
1781 1787 8719 04 0.000 0.000 1 1 1 0.962565 -14.01610 252 0 V.PEDR-RJ345-VPEDR4-R 1786 VPEDR4-RJ000
1800 1130 0 01 0.000 0.000 1 1 0 0.000000 0.00000 403 0 CGALMO-MS013-CGALMO-M  
1800 1130 0 02 0.000 0.000 1 1 0 0.000000 0.00000 403 0 CGALMO-MS013-CGALMO-M  
1801 1891 0 01 0.000 0.000 1 1 0 0.000000 0.00000 403 0 CGINDU-MS013-CGINDU-M  
1802 1129 0 01 0.000 0.000 1 1 0 0.000000 0.00000 403 0 CGLAGE-MS013-CGLAGE-M  
1802 1129 0 02 0.000 0.000 1 1 0 0.000000 0.00000 403 0 CGLAGE-MS013-CGLAGE-M  
